DBN,SATmath,SATall
10X696,648.0,640.0
11X249,381.0,377.6666666666667
11X253,357.0,382.3333333333333
11X265,391.0,378.3333333333333
11X270,394.0,380.3333333333333
11X275,376.0,370.3333333333333
11X288,471.0,449.3333333333333
11X290,365.0,378.3333333333333
11X299,391.0,389.6666666666667
11X415,361.0,360.3333333333333
11X417,,
11X418,433.0,422.6666666666667
11X455,397.0,383.6666666666667
11X456,,
11X513,381.0,349.3333333333333
11X514,372.0,370.6666666666667
11X541,382.0,376.3333333333333
11X542,438.0,429.3333333333333
11X544,378.0,375.3333333333333
11X545,393.0,387.6666666666667
12X245,344.0,348.6666666666667
12X248,367.0,351.6666666666667
12X251,381.0,374.0
12X262,353.0,358.0
12X267,432.0,417.0
12X271,378.0,367.3333333333333
12X278,401.0,385.0
12X388,351.0,323.3333333333333
12X428,,
12X446,372.0,367.0
12X478,,
12X479,,
12X480,385.0,393.6666666666667
12X550,323.0,313.0
12X682,346.0,343.0
12X684,374.0,371.3333333333333
12X690,387.0,379.3333333333333
12X692,357.0,346.0
13K265,349.0,358.0
13K336,374.0,410.3333333333333
13K350,364.0,360.0
13K412,355.0,371.3333333333333
13K419,417.0,403.6666666666667
13K430,659.0,611.0
13K439,364.0,327.0
13K483,417.0,402.0
13K499,364.0,372.0
13K509,390.0,397.6666666666667
13K527,,
13K553,383.0,399.0
13K575,391.0,394.3333333333333
13K595,443.0,437.3333333333333
13K605,391.0,396.3333333333333
13K616,,
13K670,472.0,463.6666666666667
13K674,499.0,451.0
14K071,361.0,361.6666666666667
14K322,,
14K404,357.0,375.0
14K449,584.0,580.0
14K454,386.0,396.3333333333333
14K474,379.0,371.3333333333333
14K477,396.0,401.3333333333333
14K478,421.0,405.0
14K488,373.0,363.3333333333333
14K558,385.0,370.6666666666667
14K561,410.0,395.6666666666667
14K586,377.0,367.6666666666667
14K610,376.0,364.3333333333333
14K632,372.0,374.0
14K685,335.0,345.0
14K923,,
15K429,367.0,370.3333333333333
15K448,399.0,393.0
15K462,411.0,401.0
15K463,391.0,389.6666666666667
15K464,416.0,391.6666666666667
15K497,415.0,404.0
15K519,402.0,395.0
15K520,341.0,331.0
15K529,,
15K530,365.0,367.0
15K656,421.0,419.3333333333333
15K667,,
15K698,416.0,423.6666666666667
16K393,355.0,356.0
16K455,370.0,365.6666666666667
16K498,372.0,364.0
16K594,372.0,364.3333333333333
16K688,,
17K382,374.0,379.6666666666667
17K408,342.0,348.3333333333333
17K467,,
17K489,364.0,364.0
17K524,335.0,304.3333333333333
17K528,385.0,392.0
17K531,381.0,362.6666666666667
17K533,404.0,384.3333333333333
17K537,349.0,342.3333333333333
17K539,375.0,368.3333333333333
17K543,462.0,453.3333333333333
17K544,391.0,382.0
17K546,441.0,424.3333333333333
17K547,382.0,381.0
17K548,393.0,383.6666666666667
17K568,356.0,354.3333333333333
17K590,481.0,478.6666666666667
17K600,413.0,417.0
17K625,363.0,361.0
17K751,,
18K563,320.0,321.0
18K566,377.0,381.6666666666667
18K567,358.0,372.6666666666667
18K569,378.0,364.0
18K576,377.0,381.0
18K578,362.0,365.6666666666667
18K589,360.0,360.0
18K617,393.0,394.3333333333333
18K629,395.0,389.6666666666667
18K633,380.0,386.3333333333333
18K635,370.0,380.0
18K637,381.0,370.3333333333333
18K642,385.0,378.3333333333333
18K673,403.0,397.0
19K409,432.0,414.0
19K420,,
19K431,,
19K502,349.0,341.0
19K504,349.0,351.3333333333333
19K507,386.0,383.0
19K510,365.0,368.6666666666667
19K583,322.0,295.6666666666667
19K615,418.0,397.6666666666667
19K618,371.0,365.3333333333333
19K639,385.0,369.3333333333333
19K659,385.0,376.3333333333333
19K660,369.0,367.3333333333333
19K683,400.0,385.6666666666667
20K445,471.0,424.0
20K485,474.0,441.0
20K490,478.0,435.3333333333333
20K505,486.0,414.6666666666667
20K609,,
20K658,477.0,377.0
21K337,386.0,342.0
21K344,427.0,412.3333333333333
21K348,398.0,388.0
21K410,437.0,408.6666666666667
21K412/21K411,,
21K468,,
21K525,496.0,477.0
21K540,468.0,420.6666666666667
21K559,375.0,374.6666666666667
21K572,370.0,359.6666666666667
21K620,414.0,394.6666666666667
21K690,449.0,437.6666666666667
21K728,369.0,384.3333333333333
22K405,519.0,491.0
22K425,475.0,450.0
22K495,392.0,381.6666666666667
22K535,561.0,542.3333333333334
22K555,456.0,450.6666666666667
23K493,409.0,395.0
23K514,371.0,363.6666666666667
23K643,338.0,339.3333333333333
23K646,371.0,331.0
23K647,346.0,342.6666666666667
23K697,416.0,398.6666666666667
24Q264,454.0,426.6666666666667
